ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,DAY_WEEK_DESC,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,SEVERITY_RANK,LIGHT_CONDITION_DESC,LGA_NAME,ROAD_GEOMETRY_DESC,SPEED_ZONE,LATITUDE,LONGITUDE
T20210018218,26-08-2021,23.39.00,Thursday,4,Collision with a fixed object,2,Dark No street lights,BASS COAST,T intersection,100,-38.496601,145.160436
T20210018346,29-08-2021,16.25.00,Sunday,1,Collision with vehicle,2,Day,BASS COAST,Cross intersection,60,-38.452325,145.220171
T20210018717,05-09-2021,17.00.00,Sunday,1,Collision with vehicle,2,Day,BASS COAST,Cross intersection,60,-38.612974,145.593961
T20210019018,11-09-2021,6.45.00,Saturday,4,Collision with a fixed object,2,Dusk/Dawn,BASS COAST,Not at intersection,100,-38.358255,145.561233
T20210019053,12-09-2021,8.15.00,Sunday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,80,-38.404582,145.532778
T20210019073,12-09-2021,13.15.00,Sunday,1,Collision with vehicle,3,Day,BASS COAST,T intersection,50,-38.594775,145.600547
T20210019282,16-09-2021,5.30.00,Thursday,2,Struck Pedestrian,3,Dark No street lights,BASS COAST,Not at intersection,999,-38.563607,145.548373
T20210019526,20-09-2021,10.50.00,Monday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,60,-38.487744,145.263171
T20210020723,13-10-2021,8.15.00,Wednesday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,50,-38.606317,145.588583
T20210021372,22-10-2021,18.30.00,Friday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,80,-38.482092,145.252794
T20210021996,01-11-2021,14.56.00,Monday,1,Collision with vehicle,3,Day,BASS COAST,T intersection,80,-38.472201,145.474807
T20210022166,25-10-2021,20.38.00,Monday,1,Collision with vehicle,3,Dark Street lights on,BASS COAST,Not at intersection,60,-38.593438,145.59056
T20210023235,17-11-2021,6.30.00,Wednesday,4,Collision with a fixed object,2,Day,BASS COAST,Not at intersection,80,-38.419545,145.550365
T20210023587,21-11-2021,14.32.00,Sunday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,100,-38.562967,145.714048
T20210023657,22-11-2021,13.15.00,Monday,4,Collision with a fixed object,3,Day,BASS COAST,Cross intersection,100,-38.50014,145.461947
T20210023770,19-11-2021,15.15.00,Friday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,60,-38.524174,145.37231
T20210024019,26-11-2021,13.15.00,Friday,1,Collision with vehicle,2,Day,BASS COAST,T intersection,80,-38.463637,145.229712
T20210024059,26-11-2021,19.25.00,Friday,1,Collision with vehicle,2,Day,BASS COAST,Cross intersection,100,-38.472278,145.187447
T20210024109,27-11-2021,10.20.00,Saturday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,100,-38.500197,145.46192
T20210024971,07-12-2021,0.10.00,Tuesday,1,Collision with vehicle,2,Dark Street lights on,BASS COAST,Cross intersection,50,-38.452325,145.238981
T20210025316,10-12-2021,18.00.00,Friday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,60,-38.563716,145.543329
T20210025818,16-12-2021,16.45.00,Thursday,1,Collision with vehicle,2,Day,BASS COAST,T intersection,100,-38.561071,145.499728
T20210026637,26-12-2021,12.13.00,Sunday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,100,-38.486637,145.647245
T20220000070,01-01-2022,22.10.00,Saturday,6,Vehicle overturned (no collision),2,Dark No street lights,BASS COAST,T intersection,100,-38.627784,145.808653
T20220000092,02-01-2022,10.40.00,Sunday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,60,-38.511894,145.299391
T20220000150,03-01-2022,12.42.00,Monday,4,Collision with a fixed object,2,Day,BASS COAST,Not at intersection,60,-38.636766,145.711779
T20220000157,03-01-2022,14.11.00,Monday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,100,-38.51633,145.438357
T20220000421,07-01-2022,14.22.00,Friday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,50,-38.466621,145.175325
T20220000475,08-01-2022,21.52.00,Saturday,8,No collision and no object struck,3,Dark No street lights,BASS COAST,Not at intersection,80,-38.517949,145.321853
T20220000638,01-12-2021,0.01.00,Wednesday,6,Vehicle overturned (no collision),2,Dark Street lights on,BASS COAST,Not at intersection,80,-38.463614,145.208452
T20220001396,23-01-2022,4.35.00,Sunday,4,Collision with a fixed object,2,Dark Street lights on,BASS COAST,Not at intersection,60,-38.514663,145.354086
T20220001449,23-01-2022,21.46.00,Sunday,1,Collision with vehicle,3,Dark No street lights,BASS COAST,T intersection,100,-38.353289,145.649056
T20220001867,28-01-2022,21.00.00,Friday,1,Collision with vehicle,2,Dark Street lights on,BASS COAST,Not at intersection,70,-38.587599,145.579275
T20220002110,31-01-2022,18.25.00,Monday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,60,-38.527244,145.371631
T20220002752,13-01-2022,12.30.00,Thursday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,60,-38.637329,145.60396
T20220002883,10-02-2022,11.04.00,Thursday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,50,-38.631921,145.733848
T20220003081,12-02-2022,15.05.00,Saturday,1,Collision with vehicle,3,Day,BASS COAST,T intersection,100,-38.488196,145.4641
T20220003374,15-02-2022,9.30.00,Tuesday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,70,-38.58653,145.577959
T20220003905,22-02-2022,6.30.00,Tuesday,4,Collision with a fixed object,3,Day,BASS COAST,T intersection,80,-38.62761,145.717238
T20220003913,11-02-2022,23.30.00,Friday,4,Collision with a fixed object,3,Dark No street lights,BASS COAST,Not at intersection,100,-38.580805,145.628082
T20220005577,12-03-2022,11.15.00,Saturday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,50,-38.635837,145.727764
T20220005662,13-03-2022,11.45.00,Sunday,1,Collision with vehicle,3,Day,BASS COAST,T intersection,100,-38.627784,145.808653
T20220006876,27-03-2022,17.00.00,Sunday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,100,-38.616946,145.662957
T20220007103,30-03-2022,11.35.00,Wednesday,4,Collision with a fixed object,3,Day,BASS COAST,Not at intersection,100,-38.584144,145.753133
T20220007218,31-03-2022,13.00.00,Thursday,4,Collision with a fixed object,2,Day,BASS COAST,T intersection,100,-38.570618,145.567395
T20220008026,10-04-2022,11.30.00,Sunday,5,collision with some other object,2,Day,BASS COAST,Not at intersection,100,-38.479143,145.641397
T20220008201,12-04-2022,15.40.00,Tuesday,1,Collision with vehicle,3,Day,BASS COAST,T intersection,60,-38.605077,145.601076
T20220008304,13-04-2022,12.50.00,Wednesday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,100,-38.61502,145.643934
T20220008506,15-04-2022,11.49.00,Friday,4,Collision with a fixed object,2,Day,BASS COAST,Not at intersection,100,-38.63468,145.603129
T20220008541,16-04-2022,11.00.00,Saturday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,100,-38.46361,145.20143
T20220008587,16-04-2022,19.50.00,Saturday,2,Struck Pedestrian,3,Dark Street lights unknown,BASS COAST,T intersection,50,-38.450213,145.242008
T20220008866,20-04-2022,16.15.00,Wednesday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,50,-38.562462,145.543267
T20220009367,01-04-2022,22.15.00,Friday,1,Collision with vehicle,3,Dark No street lights,BASS COAST,Not at intersection,999,-38.454406,145.221156
T20220010541,10-05-2022,15.20.00,Tuesday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,40,-38.489429,145.264806
T20220011095,16-05-2022,17.45.00,Monday,1,Collision with vehicle,2,Dark No street lights,BASS COAST,Not at intersection,100,-38.426525,145.4634
T20220011583,22-05-2022,18.00.00,Sunday,1,Collision with vehicle,3,Dark Street lights on,BASS COAST,Cross intersection,80,-38.482546,145.257525
T20220012152,23-05-2022,5.20.00,Monday,4,Collision with a fixed object,2,Dark No street lights,BASS COAST,Not at intersection,60,-38.42097,145.4773
T20220012782,06-06-2022,10.50.00,Monday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,100,-38.579932,145.57428
T20220012900,31-03-2022,11.40.00,Thursday,2,Struck Pedestrian,2,Day,BASS COAST,Not at intersection,50,-38.521386,145.339096
